County,variable,value
Chesterfield County,mean_value_less10,-3.3466526079066647
Clarke County,mean_value_less10,-39.28888888888889
Colonial Heights city,mean_value_less10,NaN
Covington city,mean_value_less10,-38.80024509803921
Craig County,mean_value_less10,NaN
Culpeper County,mean_value_less10,-7.377416938997822
Cumberland County,mean_value_less10,NaN
Danville city,mean_value_less10,-18.18681821961074
Dickenson County,mean_value_less10,NaN
Dinwiddie County,mean_value_less10,NaN
Emporia city,mean_value_less10,-15.772058823529413
Essex County,mean_value_less10,NaN
Fairfax city,mean_value_less10,NaN
Fairfax County,mean_value_less10,-0.6996242230926113
Falls Church city,mean_value_less10,NaN
Fauquier County,mean_value_less10,NaN
Floyd County,mean_value_less10,NaN
Fluvanna County,mean_value_less10,NaN
Franklin city,mean_value_less10,-6.125
Franklin County,mean_value_less10,-11.841231519657963
Frederick County,mean_value_less10,NaN
Fredericksburg city,mean_value_less10,-0.5839869281045752
Galax city,mean_value_less10,-4.471177944862156
Giles County,mean_value_less10,NaN
Gloucester County,mean_value_less10,-15.794148137090561
Goochland County,mean_value_less10,-5.479299959299959
Grayson County,mean_value_less10,-16.969390304847575
Greene County,mean_value_less10,NaN
Greensville County,mean_value_less10,-12.989972899728997
Halifax County,mean_value_less10,NaN
Hampton city,mean_value_less10,-1.1170133921968601
Hanover County,mean_value_less10,-2.9042805600960535
Harrisonburg city,mean_value_less10,NaN
Henrico County,mean_value_less10,NaN
Henry County,mean_value_less10,-20.426242183416278
Highland County,mean_value_less10,NaN
Hopewell city,mean_value_less10,NaN
